date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:51	135750/135750	---M-Z	200	added ('OK')	text/html	etag:%2221246-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-rangeslider.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-rangeslider.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:52	139433/139433	---M-Z	200	added ('OK')	text/html	etag:%22220a9-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-ratings.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-ratings.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:52	135731/135731	---M-Z	200	added ('OK')	text/html	etag:%2221233-6053ab3053f3e-gzip%22	https://mannatthemes.com/robotech/default/advanced-ribbons.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-ribbons.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:52	158125/158125	---M-Z	200	added ('OK')	text/html	etag:%22269ad-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/advanced-sweetalerts.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/advanced-sweetalerts.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:53	188681/188681	---M-Z	200	added ('OK')	text/html	etag:%222e109-6053ab30b59c4-gzip%22	https://mannatthemes.com/robotech/default/forms-elements.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-elements.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:53	151263/151263	---M-Z	200	added ('OK')	text/html	etag:%2224edf-6053ab30b59c4-gzip%22	https://mannatthemes.com/robotech/default/forms-advance.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-advance.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:53	129935/129935	---M-Z	200	added ('OK')	text/html	etag:%221fb8f-6053ab30b6965-gzip%22	https://mannatthemes.com/robotech/default/forms-validation.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-validation.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:54	157596/157596	---M-Z	200	added ('OK')	text/html	etag:%222679c-6053ab30b6965-gzip%22	https://mannatthemes.com/robotech/default/forms-wizard.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-wizard.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:54	113232/113232	---M-Z	200	added ('OK')	text/html	etag:%221ba50-6053ab30b59c4-gzip%22	https://mannatthemes.com/robotech/default/forms-editors.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-editors.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:54	116808/116808	---M-Z	200	added ('OK')	text/html	etag:%221c848-6053ab30b6965-gzip%22	https://mannatthemes.com/robotech/default/forms-uploads.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/forms-uploads.html	(from https://mannatthemes.com/robotech/default/index.html)
